epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.363,1.35567,2.90933,2.02088,1.31616,0,0.54641,0.56113,0.59527,0.42844,0.50855,0.53432,0.54429,0.35882,1.11086,2.47913,1.14274,1.12718,0,1.785e-05,1.785e-05,1.785e-05
2,20.4057,1.31461,2.845,1.77935,1.2814,0,0.55212,0.55911,0.58978,0.42451,0.51206,0.53993,0.53767,0.33967,1.1027,2.47777,1.14115,1.12393,0,3.32379e-05,3.32379e-05,3.32379e-05
3,23.2023,1.24004,2.77675,1.83552,1.29329,0,0.58242,0.57003,0.60267,0.42693,0.53568,0.53002,0.53724,0.34391,1.10382,2.47216,1.1442,1.12517,0,4.48559e-05,4.48559e-05,4.48559e-05
4,26.0715,1.25402,2.79338,1.58851,1.24387,0,0.60785,0.56443,0.60332,0.43384,0.54576,0.51937,0.5373,0.34992,1.10468,2.47966,1.14385,1.12627,0,5.27039e-05,5.27039e-05,5.27039e-05
5,28.9112,1.20937,2.68401,1.56065,1.21637,0,0.60082,0.575,0.61289,0.44246,0.6148,0.4878,0.54432,0.35356,1.0947,2.47602,1.11394,1.11986,0,5.6782e-05,5.6782e-05,5.6782e-05
6,31.7325,1.24982,2.80005,1.5221,1.22178,0,0.61156,0.56961,0.61546,0.44307,0.5996,0.49711,0.54316,0.35145,1.09485,2.47542,1.10964,1.11892,0,5.70903e-05,5.70903e-05,5.70903e-05
7,34.555,1.19447,2.68569,1.47327,1.22114,0,0.68207,0.54407,0.63375,0.46052,0.64731,0.50793,0.56052,0.36544,1.08542,2.45241,1.0849,1.11384,0,4.8314e-05,4.8314e-05,4.8314e-05
8,37.3316,1.22841,2.69342,1.41436,1.24122,0,0.6775,0.56405,0.63639,0.46306,0.65342,0.52261,0.5693,0.37025,1.07573,2.43749,1.06903,1.10879,0,3.6533e-05,3.6533e-05,3.6533e-05
9,40.1299,1.15719,2.64137,1.36169,1.20286,0,0.65946,0.59038,0.64624,0.47368,0.66832,0.51321,0.57488,0.3773,1.06728,2.42137,1.05629,1.10389,0,2.4752e-05,2.4752e-05,2.4752e-05
10,42.9237,1.18803,2.56093,1.41675,1.19245,0,0.65969,0.58304,0.64385,0.4728,0.6296,0.53434,0.575,0.37823,1.06756,2.42061,1.05543,1.10416,0,1.2971e-05,1.2971e-05,1.2971e-05
